Ref,Storyline,Comments,CDate,UDate,CName,UName
423,"Farm work",,"04/07/00 12:17:53","04/07/00 12:17:53","fishec50","fishec50"
424,"Marjorie's Greenhouse",,"04/07/00 13:43:40","04/07/00 13:43:40","fishec50","fishec50"
427,"Mike's Milk Round",,"04/13/00 14:22:14","04/13/00 14:22:14","fishec50","fishec50"
428,"Dormouse",,"04/13/00 14:43:38","04/13/00 14:43:39","fishec50","fishec50"
429,"Production - Morality play","Cast of The Play - 
Feddie Danby - Everyman
Walter - Lust
Marjorie - Knowledge
Martha - Discretion
Joe - Death 
Jack Woolley - Wordly Goods.","04/25/00 10:57:58","07/20/11 17:15:00","fishec50","fishec50"
430,"Welsh Sheep",,"04/25/00 11:38:56","04/25/00 11:38:56","fishec50","fishec50"
431,"Fishing","Because of the flooding during the summer of 2007 that year most of the fishing takes place at the fishing lake. The river and the banks were not safe","04/26/00 17:15:09","11/05/07 16:11:25","fishec50","fishec50"
432,"Walter and Mrs P",,"04/27/00 10:23:09","04/27/00 10:23:09","fishec50","fishec50"
433,"Lilian and Ralph",,"04/27/00 10:38:34","10/09/09 15:01:57","fishec50","fishec50"
434,"Montagu's Harrier",,"04/27/00 14:31:04","04/27/00 14:31:04","fishec50","fishec50"
435,"Sharon and Thorkhil",,"04/27/00 14:51:59","11/22/01 11:35:02","fishec50","fishec50"
436,"Peggy's wartime sweetheart",,"04/27/00 17:00:33","04/27/00 17:00:33","fishec50","fishec50"
437,"Nigel and Debbie",,"05/02/00 11:55:15","05/02/00 11:55:16","fishec50","fishec50"
438,"Julia's diet",,"05/03/00 15:16:58","05/03/00 15:16:59","fishec50","fishec50"
440,"History of The Archers","This extract was taken from the Radio Times May 1950. - "" Some time ago, while he was turning over in his mind the possibility of a fresh approach to farming broadcasts, mainly with the aim of arousing the interest of the general listening public in a farmer's life, and his everyday problems, Godfrey Baseley conceived the idea of a short daily programme built around a fictional farming family, and telling a story in some ways similar to Mrs Dale's Diary. He thought his might hold the attention of the country people and townsfolk alike, and the programme planners supported his opinion.
The next job was to find scriptwriters capable of producing a daily piece of this kind which, in addition to being absolutely correct on agricultural technicalities, would have colour, dramatic interest, and human appeal.  At this point the Dick Barton team, Edward J Mason and Geoffrey Webb, the latter a farmer's son, came into the picture, and theirs is to be the task of writing, in dialogue form, the story which Baseley will produce.
There is now to be a trial run of five consecutive episodes (from Monday to Friday at four o'clock).  If the results prove as successful as hoped, the doings of The Archers will become daily fare (week-ends excepted) in the Autumn. Maybe their domestic adventures and misadventures will make them familiar and loveable personalities in much the same way as the characters clustered round Mrs Dale, or The Robinson Family. There will be the slight difference, however, that in this serial genuine difficulties known to every farmer, will be pegs on which the story hangs.  Country people will recognise these at once- and may even learn a little from the way The Archers set about tackling them - while the people of the towns will not find the entertainment in any way obscured by the various contretemps which take place. Indeed because people are normally interested in other people's jobs, these should lend verisiltude to the sequence of events. There will be no attempts to plug farming problems; they will come out naturally in the episodes.
The Archers are a very ordinary family, running a smallish farm. Father is a farmer of the old school, rather old0fashioned and stubborn; mother, a little better educated, has the business head and holds both farm and family together.  The three children are very dissimilar from each other.  The elder son has never really settled down after his life in the Army, and he and his town-bred wife don't always get on well together.  Both the younger son and the daughter appear to have more stability of character and are intent on getting the best education for themselves that they can.  The other characters are mainly village people.""","05/25/00 11:09:07","05/25/00 11:47:35","fishec50","fishec50"
441,"Josiah Goodall",,"06/01/00 16:28:36","06/01/00 16:28:37","fishec50","fishec50"
442,"Peacocks",,"06/06/00 17:04:01","06/06/00 17:05:09","fishec50","fishec50"
443,"Debbie and Simon's wedding",,"06/08/00 11:53:01","06/08/00 11:53:01","fishec50","fishec50"
444,"Hassett Hills meat","See -  co-operative lamb and Assured Farm Venison","06/09/00 10:34:33","07/19/04 12:31:38","fishec50","fishec50"
445,"William at The Dower House",,"06/09/00 11:57:00","06/09/00 11:57:00","fishec50","fishec50"
446,"Buses",,"06/09/00 12:06:14","07/11/06 15:08:17","fishec50","fishec50"
447,"Ruth's cancer","See sponsored swim","06/09/00 16:49:13","01/13/05 14:38:28","fishec50","fishec50"
449,"playscheme",,"06/13/00 15:30:53","06/13/00 15:30:53","fishec50","fishec50"
450,"Work",,"06/13/00 16:13:39","06/13/00 16:13:39","fishec50","fishec50"
451,"Darts",,"06/20/00 16:00:53","06/20/00 16:00:53","fishec50","fishec50"
452,"Sid and Kathy",,"06/20/00 16:21:04","06/20/00 16:21:04","fishec50","fishec50"
453,"Village School",,"06/22/00 12:00:36","06/22/00 12:00:36","fishec50","fishec50"
454,"Borchester Grammer",,"06/22/00 12:04:45","06/22/00 12:04:46","fishec50","fishec50"
455,"Riding for the disabled",,"06/22/00 12:06:09","06/22/00 12:06:09","fishec50","fishec50"
456,"Two Jays",,"06/22/00 12:10:18","06/22/00 12:10:18","fishec50","fishec50"
457,"Churchwardens",,"06/22/00 12:29:10","06/22/00 12:29:11","fishec50","fishec50"
459,"Bishop's Certificate",,"06/22/00 17:27:52","06/22/00 17:27:52","fishec50","fishec50"
460,"Lynda  - Feng Shui",,"06/28/00 14:58:18","06/28/00 14:58:18","fishec50","fishec50"
461,"Roy at Grey Gables",,"07/10/00 15:37:27","07/10/00 15:37:27","fishec50","fishec50"
464,"Hebden and Gupta",,"07/18/00 15:07:26","07/18/00 15:07:27","fishec50","fishec50"
466,"Village Outings",,"08/04/00 12:48:27","08/04/00 12:48:27","fishec50","fishec50"
467,"Ambridge Organics Shop","Harcourt Road, Borchester","08/04/00 15:42:21","10/13/11 15:51:31","fishec50","fishec50"
468,"Play-Bar at The Bull",,"08/04/00 16:12:52","08/04/00 16:12:53","fishec50","fishec50"
469,"Adam's Kidnapping",,"08/04/00 16:37:30","01/22/10 17:28:06","fishec50","fishec50"
470,"Jennifer and John Tregorran",,"08/06/00 16:02:45","08/06/00 16:02:45","fishec50","fishec50"
472,"Susan and Neil",,"08/07/00 11:58:36","08/07/00 11:58:36","fishec50","fishec50"
473,"David and Sophie","See Ruth and Sam","08/07/00 12:27:33","12/04/06 15:48:24","fishec50","fishec50"
474,"Otter",,"08/07/00 14:02:50","08/07/00 14:02:50","fishec50","fishec50"
475,"computer dating","Also see Mike's love life","08/08/00 14:28:05","11/16/07 11:41:13","fishec50","fishec50"
476,"Marjorie, Martha and Freddie",,"08/08/00 14:29:29","08/08/00 14:29:29","fishec50","fishec50"
477,"Jennifer at The Echo",,"08/08/00 14:55:10","08/08/00 14:55:10","fishec50","fishec50"
478,"Caroline and Matthew",,"08/08/00 14:57:12","08/08/00 14:57:12","fishec50","fishec50"
479,"Pony Club",,"08/08/00 17:42:40","08/08/00 17:42:41","fishec50","fishec50"
480,"Sale of Willow Farm",,"08/08/00 17:47:11","08/08/00 17:47:11","fishec50","fishec50"
481,"Footpaths",,"08/08/00 18:31:41","08/08/00 18:31:45","fishec50","fishec50"
482,"Caroline at Grey Gables",,"08/08/00 18:35:17","08/08/00 18:35:17","fishec50","fishec50"
483,"Food and Farming Year 1989",,"08/08/00 19:12:33","05/21/07 12:49:02","fishec50","fishec50"
484,"Ruth's training",,"08/08/00 20:34:02","08/08/00 20:34:02","fishec50","fishec50"
485,"Debbie's new horse",,"08/15/00 13:45:44","08/15/00 13:45:54","fishec50","fishec50"
486,"Church loo","In 1992 a ramp for easy access was installed and an inside loo precise whereabouts unknown but Bert didn’t want it in the vestry and Mrs. A wanted it in the porch","08/15/00 14:54:38","03/14/07 16:19:21","fishec50","fishec50"
487,"Cameron Fraser's financial rip off",,"08/15/00 15:08:24","03/29/07 12:24:55","fishec50","fishec50"
488,"Ippy is missing",,"08/15/00 16:43:05","08/15/00 16:43:05","fishec50","fishec50"
489,"Badgers","For TB in 2003 see TB at Brookfield","09/14/00 10:59:27","09/30/03 17:00:50","fishec50","fishec50"
490,"William the Gamekeeper",,"09/14/00 12:52:44","09/14/00 12:52:44","fishec50","fishec50"
491,"Caravan - The Grundys",,"09/15/00 15:52:44","09/15/00 15:52:44","fishec50","fishec50"
492,"Adam's snake bite",,"09/19/00 10:15:06","01/22/10 17:27:47","fishec50","fishec50"
493,"Red House Farm",,"09/20/00 14:24:32","09/20/00 14:24:32","fishec50","fishec50"
494,"Betty - Queen for a day",,"09/22/00 10:33:11","09/22/00 10:33:11","fishec50","fishec50"
495,"Kathy and the St. John's Ambulance",,"09/22/00 12:21:23","11/21/02 12:24:31","fishec50","fishec50"
496,"Production - Mikado","Cast: The Mikado - 
The Mikado of Japan - Simon Gerrard
Nanki Poo - Tom Archer 
Ko-Ko  - Larry Lovell 
Pooh-Bah -  Jack Woolley
Pish-Tush  - George Barford
Yum-Yum -   Lauren Walsh
Pitti-Sing -    Hayley Jordan
Peep-Bo -    Brenda Tucker

Katisha-       Chris Barford (Julia Pargetter)

Chorus of Schoolgirls & Nobles, Guards and Coolies ( divided into Sopranos/Altos/Tenors/Basses)

Also see Tom's two timing","09/22/00 15:29:31","08/27/03 15:57:37","fishec50","fishec50"
497,"Sid and Kathy's divorce","See Caroline at The Bull","09/28/00 10:38:02","11/07/05 12:53:00","fishec50","fishec50"
498,"Eddie's odd jobs",,"09/29/00 12:05:48","05/14/01 15:50:08","fishec50","fishec50"
499,"Tommy the delivery boy",,"10/04/00 10:38:29","10/04/00 10:38:29","fishec50","fishec50"
500,"NFU",,"10/04/00 12:55:17","10/04/00 12:55:18","fishec50","fishec50"
501,"Jennifer's illegitimate baby",,"10/05/00 15:45:01","10/05/00 15:45:01","fishec50","fishec50"
502,"Mel's Baby",,"10/12/00 10:43:53","10/12/00 10:43:54","fishec50","fishec50"
503,"Post office",,"10/13/00 16:57:02","10/13/00 16:57:02","fishec50","fishec50"
505,"Riding",,"10/19/00 15:44:36","10/19/00 15:44:37","fishec50","fishec50"
506,"Stag Beetle",,"10/25/00 12:32:01","10/25/00 12:32:01","fishec50","fishec50"
507,"Cleaning the river Am",,"10/25/00 14:30:17","10/25/00 14:30:18","fishec50","fishec50"
508,"Dross","Line up;
Ash, new singer after Jazzer and drugs
Jazzer's brother Stu - base guitar
Dermot Drummer
Ed 6 string guitar
Fallon 6 string guitar and singer

Jazzer was drummer then singer now roadie","10/25/00 14:43:16","09/26/02 12:34:34","fishec50","fishec50"
509,"Lower Loxley Rewiring","see Elizabeth and Nigel  - Marital Problems","10/26/00 11:48:57","10/10/07 14:18:22","fishec50","fishec50"
510,"The Bull Upstairs",,"10/26/00 15:22:58","10/26/00 15:49:13","fishec50","fishec50"
511,"Jill's 70th",,"10/27/00 15:10:00","10/27/00 15:10:01","fishec50","fishec50"
512,"Tim and Siobhan","Also see - Tim and Janet - Brian and Siobhan's affair - Siobhan's pregnancy","10/31/00 17:00:36","09/02/02 17:21:21","fishec50","fishec50"
514,"Country and Western",,"11/22/00 17:13:21","11/22/00 17:13:37","fishec50","fishec50"
515,"Mike and Neil",,"11/24/00 13:08:32","11/24/00 13:08:32","fishec50","fishec50"
516,"Death of Jack Archer",,"11/27/00 17:17:50","11/27/00 17:17:50","fishec50","fishec50"
517,"Martha and Marjorie",,"11/27/00 17:20:41","11/27/00 17:20:41","fishec50","fishec50"
519,"Kate's return 2000",,"12/19/00 11:52:05","01/05/10 16:10:26","fishec50","fishec50"
520,"Tim and Janet"," Also see - Nude calendar (Male) - Brian and Siobhan's affair - Tim and Siobhan.","01/08/01 16:25:43","09/02/02 17:20:14","fishec50","fishec50"
521,"Death of Polly Perks",,"01/11/01 17:11:05","04/04/06 12:40:10","fishec50","fishec50"
523,"Death of Sammy the cat",,"01/18/01 14:15:02","04/04/06 12:40:43","fishec50","fishec50"
525,"Caroline and The Bull","See Sid and Kathy's divorce","01/18/01 17:48:15","11/07/05 12:52:39","fishec50","fishec50"
526,"Nude calendar (Male)","January          Mike Tucker
February         Jean-Paul
March             Eddie Grundy
April                Bert Fry
May                Roy Tucker
June               Sid Perks
July                Greg Turner
August           William Grundy
September     Simon Gerrard
October          Owen from Lower Loxley
 In the end      November      Tim Hathaway
December      Everyone, up on Heydon Berrow","01/18/01 17:50:10","09/01/03 16:40:32","fishec50","fishec50"
527,"Midnight Walkers",,"01/18/01 17:53:20","01/18/01 17:53:20","fishec50","fishec50"
528,"Death of Captain the dog",,"01/19/01 14:51:32","04/25/07 15:21:43","fishec50","fishec50"
529,"Grange Farm - new owner",,"01/19/01 16:20:22","01/19/01 16:20:22","fishec50","fishec50"
530,"Smithfield",,"01/22/01 12:19:53","01/22/01 12:19:53","fishec50","fishec50"
531,"Pyramid Selling",,"01/24/01 12:49:49","01/24/01 12:49:49","fishec50","fishec50"
532,"Hamburgers",,"01/24/01 13:02:44","01/24/01 13:02:45","fishec50","fishec50"
533,"Grundys at Keeper's Cottage",,"01/30/01 10:18:03","01/30/01 10:18:04","fishec50","fishec50"
534,"Caroline and Oliver",,"01/30/01 15:43:45","01/30/01 15:43:45","fishec50","fishec50"
535,"Brookfield Herefords","see Tom Archer's Gourmet Grills","01/30/01 15:45:40","03/09/06 11:49:04","fishec50","fishec50"
537,"Kathy at Lower Loxley",,"02/08/01 12:01:08","02/08/01 12:01:08","fishec50","fishec50"
539,"Marjorie and Feddie",,"02/15/01 10:25:05","02/15/01 10:25:05","fishec50","fishec50"
540,"Marjorie's Dogs",,"02/15/01 11:01:34","02/15/01 11:13:12","fishec50","fishec50"
541,"Marjorie's Organ",,"02/15/01 11:19:33","02/15/01 11:19:33","fishec50","fishec50"
542,"Jerry and Mozambique",,"02/15/01 11:37:55","02/15/01 11:37:55","fishec50","fishec50"
544,"Phone Box","Committee: Christine, Susan, Neil, Lilian","02/15/01 12:18:55","05/28/09 15:51:48","fishec50","fishec50"
545,"Nelson's Daughter",,"02/20/01 16:52:47","02/20/01 16:52:47","fishec50","fishec50"
546,"Borchester Land Grange Spinney development","See Borchester Land","03/07/01 12:13:12","02/22/11 10:10:03","fishec50","fishec50"
547,"Home Farm Money worries",,"03/07/01 14:43:43","03/07/01 14:43:43","fishec50","fishec50"
548,"Joe Grundy's travels",,"03/07/01 16:57:47","03/07/01 16:57:48","fishec50","fishec50"
549,"Betty and Neil's hens","After Betty's death in December '05 see ""Hayley and Neil's hens"".","03/13/01 12:24:51","07/27/06 11:00:31","fishec50","fishec50"
550,"Kathy at April Cottage",,"03/13/01 12:55:33","03/13/01 12:55:42","fishec50","fishec50"
551,"Tony and Eddie the 50th",,"03/13/01 15:34:31","03/13/01 15:34:31","fishec50","fishec50"
553,"Schools merger Loxley Barratt / Hollerton Primary",,"03/13/01 16:02:27","03/13/01 16:02:29","fishec50","fishec50"
554,"Clarrie's wedding ring",,"03/14/01 12:42:41","03/14/01 12:42:41","fishec50","fishec50"
555,"Foot and Mouth","In the real world there was an outbreak of Foot and Mouth in the UK on 21/2/01 - Also see Topical inserts for the 2001 outbreak.
Another outbreak on 3/8/07","03/15/01 15:09:48","08/07/07 10:06:47","fishec50","fishec50"
556,"Ironstone",,"03/20/01 11:10:23","03/20/01 11:44:33","fishec50","fishec50"
557,"Phil and Grace",,"03/20/01 12:06:56","03/20/01 12:06:56","fishec50","fishec50"
558,"Death of Bill Slater",,"03/20/01 12:18:24","03/20/01 12:18:24","fishec50","fishec50"
559,"Music",,"03/20/01 14:55:51","03/20/01 14:55:51","fishec50","fishec50"
560,"Caroline and her dog Leo",,"03/21/01 12:51:06","03/21/01 12:51:06","fishec50","fishec50"
561,"Historical survey of Ambridge",,"03/21/01 12:58:52","03/21/01 12:58:52","fishec50","fishec50"
562,"Deer",,"03/21/01 13:00:38","03/21/01 13:00:39","fishec50","fishec50"
563,"Decorating",,"03/21/01 14:35:13","03/21/01 14:35:14","fishec50","fishec50"
565,"The Ambridge House swap",,"03/27/01 15:54:47","03/23/10 11:10:14","fishec50","fishec50"
566,"Ferreting",,"04/04/01 10:52:21","04/04/01 10:52:21","fishec50","fishec50"
567,"Rabbits",,"04/04/01 11:51:49","03/12/02 13:48:45","fishec50","fishec50"
568,"Jennifer and Brian","Before she  married Brian - Jennifer and the children (Adam and Debbie) lived with Chris and Paul at Wynford’s farm.  Paul was often away due to his work.
Brian’s  stag  night was at Grey Gables with Phil and Tony and some others who happened to be in the bar.  He got very drunk and Tony had to dive him home - the party was on the Wednesday with the wedding on the Saturday.  On Friday Jennifer and Brian went for a walk on Heden Berrow. It was very romantic, they told each other that they loved each other.  Brian told Jennifer about the plans he had for the children, and their future family life together.
Jennifer and Brian were married on a Saturday 29/5/76. At Borchester Registry Office.
Jennifer might have liked a church wedding  (the vicar was disappointed he couldn’t marry her)but as a divorced woman it had to be a civil ceremony.  She also felt the  children were too young to understand, they had only just got used to the idea that Roger wasn’t coming back. 
It was a very quiet wedding.  The only guests were; Tony and Pat, Chris (Paul was at work) and Peggy. 
The wedding was reported by Tony to have been; plain, simple and dignified.
During the service the children were with Dan and Doris and stayed with Chris while the couple were on their honeymoon.  
The holiday was also simple - a week in the Cambridge area.  Brian was worried about leaving the farm for any longer, even though he had a manager, and Jennifer wanted to get back to the children.
Pat and Tony gave them an ironing board, Chris and Paul; wine glasses, Doris and Dan cutlery.   
This was Jennifer’s second marriage, her first wedding had also been at Borchester Registry Office.","04/04/01 11:57:11","10/28/11 14:58:12","fishec50","fishec50"
569,"Retirement",,"04/04/01 12:13:40","01/15/07 14:57:05","fishec50","fishec50"
570,"Conkers",,"04/04/01 14:38:57","04/04/01 14:38:57","fishec50","fishec50"
571,"Bert's Rhymes",,"04/04/01 15:12:44","04/04/01 15:12:45","fishec50","fishec50"
572,"Robin Fairbrother is back",,"04/12/01 16:36:27","04/12/01 16:38:41","fishec50","fishec50"
573,"Death of Nelson",,"05/03/01 12:59:37","05/03/01 12:59:37","fishec50","fishec50"
574,"Crop Circle",,"05/03/01 17:01:45","05/03/01 17:01:45","fishec50","fishec50"
576,"Elections",,"05/11/01 14:32:48","05/11/01 14:32:48","fishec50","fishec50"
577,"South Borsetshire District Council",,"05/11/01 14:45:41","05/11/01 14:45:41","fishec50","fishec50"
578,"Robert's family","See Coriander's baby","05/22/01 16:33:33","01/06/10 10:38:37","fishec50","fishec50"
579,"Holiday Cottages",,"05/22/01 16:43:20","05/22/01 16:43:21","fishec50","fishec50"
581,"Lilian and Scott",,"05/30/01 10:39:39","05/30/01 10:39:40","fishec50","fishec50"
582,"Kate and Lucas",,"05/30/01 16:39:45","05/30/01 16:39:46","fishec50","fishec50"
583,"Silver Wedding Anniversary",,"06/05/01 14:27:03","06/05/01 14:27:03","fishec50","fishec50"
584,"Roy and Hayley's wedding","Roy and Hayley were married on 7/5/01 at St. Stephen's church in Ambridge By Janet Fisher.  It was a bank holiday and the sun shone.  Tom was Roy's best man and Brenda, Pip, Becky and Phoebe were bridesmaids.  Lynda took the video.  Hayely's and Roy's parents had decorated the Village Hall,  it looked lovely. Jack Woolley lent them his Bentley - (Roy works at Grey Gables). Their Honeymoon was in a hotel in Camden London.","06/05/01 15:37:32","02/05/02 14:32:31","fishec50","fishec50"
585,"Brenda and Scott",,"06/25/01 15:14:40","06/25/01 15:14:40","fishec50","fishec50"
586,"Falconry",,"06/26/01 12:29:48","06/26/01 12:30:12","fishec50","fishec50"
587,"Marjorie and Teddy",,"06/26/01 12:49:27","06/26/01 12:49:27","fishec50","fishec50"
588,"Simon Gerrard the Philanderer",,"06/26/01 14:53:47","06/26/01 14:54:38","fishec50","fishec50"
589,"Joe's Jottings",,"07/11/01 15:58:14","07/11/01 15:58:14","fishec50","fishec50"
590,"Bungalow - David and Ruth",,"07/19/01 14:38:10","07/19/01 14:38:10","fishec50","fishec50"
591,"Kate's poems",,"07/25/01 14:31:37","07/25/01 14:31:38","fishec50","fishec50"
592,"Docububble at Grey Gables",,"08/01/01 11:13:40","08/01/01 12:16:48","fishec50","fishec50"
593,"Ed flunks his GCSEs",,"08/01/01 17:20:48","08/01/01 17:20:48","fishec50","fishec50"
594,"Ghosts",,"08/21/01 16:31:54","08/21/01 16:31:54","fishec50","fishec50"
595,"SSSI",,"08/22/01 16:51:16","08/22/01 16:51:17","fishec50","fishec50"
596,"Ed and Emma","Also see William and Emma.
Will or Ed who is George's father ?
Ed and William's relationship with George
Will leaves Ambridge.","08/24/01 15:18:14","09/18/08 16:56:54","fishec50","fishec50"
598,"Brian and Jennifer's Silver Wedding",,"09/03/01 16:27:52","09/03/01 16:27:52","fishec50","fishec50"
599,"Joyriding","For 2011 Jamie crash also see AE: Bike race","09/14/01 17:05:59","07/08/11 12:20:56","fishec50","fishec50"
600,"Talent Nights at The Bull",,"09/14/01 17:43:09","09/28/01 16:59:14","fishec50","fishec50"
601,"Lilian's face lift",,"09/27/01 12:01:18","09/27/01 12:01:18","fishec50","fishec50"
602,"William's pedigree Jersey cows",,"09/27/01 17:29:11","09/27/01 17:29:11","fishec50","fishec50"
603,"Helen and Greg","See Greg's family problems and Greg's  Suicide","09/28/01 16:18:42","04/29/04 15:53:28","fishec50","fishec50"
604,"William and Emma","See Emma's accident 
Emma, Ed and William?
Ed and William's relationship with George
Will or Ed who is George's father ?","10/03/01 10:38:45","01/30/06 17:08:18","fishec50","fishec50"
605,"Kathy alone",,"10/03/01 10:43:57","03/12/02 14:04:48","fishec50","fishec50"
606,"Ruth's third pregnancy","Also see Ruth's cancer","10/03/01 11:06:55","10/09/01 10:48:54","fishec50","fishec50"
607,"Prince Charles’ farm",,"10/08/01 16:58:30","10/08/01 16:59:11","fishec50","fishec50"
609,"Patch's Poisoner",,"10/11/01 16:34:49","10/11/01 16:34:49","fishec50","fishec50"
610,"Home Farm and Brookfield machine sharing",,"10/12/01 11:57:49","06/23/05 15:00:47","fishec50","fishec50"
611,"Promises Auction",,"10/12/01 12:01:36","10/12/01 12:01:37","fishec50","fishec50"
612,"Pat's pregnancies",,"10/17/01 10:49:59","10/06/10 12:34:34","fishec50","fishec50"
613,"Women of the Year",,"10/17/01 10:52:23","10/17/01 10:52:23","fishec50","fishec50"
615,"Emma's Accident","See Ed's court case","10/19/01 11:35:27","11/07/01 11:25:32","fishec50","fishec50"
616,"Ed's court case","See Emma's accident","11/07/01 11:23:57","11/07/01 11:26:20","fishec50","fishec50"
617,"Floods",,"11/09/01 12:41:47","11/09/01 12:41:47","fishec50","fishec50"
621,"Low Cost Housing",,"11/13/01 16:24:39","11/13/01 16:24:39","fishec50","fishec50"
622,"Daniel's animals",,"11/21/01 17:41:20","11/21/01 17:41:20","fishec50","fishec50"
623,"Canning Factory",,"11/22/01 11:28:30","11/22/01 11:28:30","fishec50","fishec50"
624,"Production - Lynda's Victorian Christmas",,"11/22/01 14:52:44","01/17/11 14:55:39","fishec50","fishec50"
625,"Bridge Farm Cheese",,"11/22/01 15:52:40","11/22/01 15:52:40","fishec50","fishec50"
626,"Ghost Walk",,"11/26/01 15:23:34","11/26/01 15:23:35","fishec50","fishec50"
628,"Phil's Eye accident",,"11/28/01 12:41:38","11/28/01 12:41:39","fishec50","fishec50"
629,"Lucy The Protester",,"11/30/01 17:27:56","11/30/01 17:27:56","fishec50","fishec50"
630,"Betty at Home Farm",,"11/30/01 17:29:57","11/30/01 17:29:57","fishec50","fishec50"
631,"Brian's Hungarian investments",,"12/17/01 11:09:24","09/07/11 15:07:07","fishec50","fishec50"
632,"Brian and Siobhan's affair","Also see Tim and Janet. Tim and Siobhan.  Siobhan's pregnancy. Brian's affair with Siobhan is over. Brian's car crash. Brian's relationship with Ruairi, Death of Siobhan and Ruairi in the Aldridge family","01/18/02 16:39:21","06/19/07 10:27:07","fishec50","fishec50"
633,"Queen's Silver Jubilee","Committee: 
Dan Archer - Chairman
Doris - representing the WI
Laura Archer
Brian Aldridge
Neil Carter - representing the Youth Club
Betty Tucker
Jean Harvey
Richard Adamson - as Vicar
Jack Woolley.","01/31/02 10:59:09","02/01/02 11:08:14","fishec50","fishec50"
634,"Youth Club",,"01/31/02 12:46:24","01/31/02 12:46:25","fishec50","fishec50"
635,"Camilla's Baby",,"02/04/02 10:57:18","02/04/02 10:57:20","fishec50","fishec50"
636,"Corruption story",,"02/05/02 12:31:09","02/05/02 12:31:10","fishec50","fishec50"
637,"Christine and The Stables",,"02/08/02 11:07:02","02/08/02 11:07:02","fishec50","fishec50"
638,"Queen's Golden Jubilee",,"02/08/02 16:37:59","02/08/02 16:37:59","fishec50","fishec50"
639,"Emma at College",,"02/14/02 14:36:05","02/14/02 14:36:17","fishec50","fishec50"
641,"Phil grows a  beard",,"02/15/02 10:47:25","02/15/02 10:48:55","fishec50","fishec50"
642,"Shula and Mark's Wedding",,"02/15/02 10:52:04","02/15/02 10:52:04","fishec50","fishec50"
643,"Midsummer's Eve bonfire",,"02/15/02 11:03:58","02/15/02 11:09:02","fishec50","fishec50"
644,"New Vicarage",,"02/18/02 12:05:16","02/18/02 12:05:16","fishec50","fishec50"
645,"Bellringing",,"02/18/02 12:11:44","02/18/02 12:11:44","fishec50","fishec50"
646,"Market Garden",,"02/18/02 12:19:41","02/18/02 12:19:42","fishec50","fishec50"
647,"Dutch Elm disease",,"02/18/02 12:23:13","02/18/02 12:23:14","fishec50","fishec50"
650,"Shula and Simon Parker",,"02/19/02 17:32:04","02/19/02 17:32:04","fishec50","fishec50"
651,"Simon Parker at The Echo",,"02/19/02 17:34:15","02/19/02 17:34:16","fishec50","fishec50"
652,"Driving",,"02/27/02 17:19:58","10/12/10 16:16:25","fishec50","fishec50"
653,"Peggy's gift",,"03/12/02 12:31:07","03/12/02 12:31:07","fishec50","fishec50"
654,"Bullying",,"03/12/02 13:54:51","03/12/02 13:54:51","fishec50","fishec50"
655,"Sid and Jolene's Wedding","See Sid and Jolene - Fallon and Peggy","04/10/02 15:27:14","09/10/02 10:26:08","fishec50","fishec50"
656,"Jean-Paul at Nelson's",,"05/02/02 14:48:03","05/02/02 14:48:04","fishec50","fishec50"
657,"Elizabeth and Cameron","Elizabeth was only 25 when she got herself entangled with 42 year old Cameron Fraser. He was rich and he was charming. 
However the initial pursuing was all done by Elizabeth - there were people in the village who went as far as to say - she threw herself at him. Yet her allure, youth and beauty soon won him over.  
At the hunt ball in January 1992 that Cameron first discovered he had a rival - Nigel. Initially Nigel’s attentions just put Cameron in a strop.  It was then he realised that he wanted to be with Elizabeth more than without her. So he started to fight back. Flattery and flowers were the order of the day. 
Cameron arranged a mysterious trip and drove Elizabeth to the Beachy Head. Standing beside the car with the wind blowing in their hair Cameron played his ace. 
He told her that because his father worked abroad he had been sent to a boarding school in Edinburgh.  Abandoned by his loved ones he even spent the school holidays with friends rather than family. He felt uncared for. Then when he got his first job working in the city he fell in love with a beautiful undergraduate. For two years he wooed her. Her father even offered him a job. But when he asked her to marry him she laughed in his face. Hurt Cameron became guarded - now he simply wouldn’t give his heart away. But with Lizzie he had found someone he could talk to. Cameron played the vulnerable card and it worked Elizabeth’s life was changed forever.","05/02/02 14:48:23","04/20/10 14:59:20","fishec50","fishec50"
659,"Baby Spice",,"05/09/02 15:28:16","05/09/02 15:28:16","fishec50","fishec50"
660,"Sibling Rivalry",,"05/09/02 17:07:30","05/09/02 17:07:30","fishec50","fishec50"
662,"Death of Walter",,"05/13/02 17:09:25","05/13/02 17:09:25","fishec50","fishec50"
663,"Lower Loxley and Grey Gables joint venture",,"05/16/02 12:07:45","05/16/02 12:07:45","fishec50","fishec50"
664,"Fun run Ambridge","For 2011 story also see AE fun run","06/24/02 12:13:34","07/08/11 12:23:18","fishec50","fishec50"
665,"Caroline and Oliver's hair",,"06/24/02 14:17:29","06/24/02 14:17:30","fishec50","fishec50"
666,"Website - message board",,"06/25/02 15:13:17","10/01/03 10:22:36","fishec50","fishec50"
667,"Bert's shingles",,"06/26/02 10:59:43","07/09/02 11:55:15","fishec50","fishec50"
668,"Hobby",,"07/03/02 12:29:35","07/03/02 12:29:35","fishec50","fishec50"
669,"Godparents",,"07/03/02 12:33:27","08/18/05 13:03:35","fishec50","fishec50"
