Ref,Storyline,MDate,Description,CDate,UDate,CName,UName
110,1067,"11/24/06 00:00:00","Ben’s fallen off the tree-house ladder. Realising Ben’s not badly hurt, David’s concern turns to anger. He scolds them for being at the tree-house when he’d told them not to go there. As the children bicker over who’s fault it is, David threatens them not to disobey him again.  When they remind him that Sam built the tree-house, and it’s only rubbish because of the roof David built, it’s enough to send David  into a fury. David starts demolishing the tree-house.  Josh begs Ruth to make him stop but she knows he won’t see reason over this. She tries to tell Josh it’s for the best but when Jill arrives she can see how upset he is, and takes Josh and Ben back home with her.","01/11/07 14:41:46","01/11/07 14:42:03","fishec50","fishec50"
111,1052,"02/07/07 00:00:00","One tube completely blocked","02/28/07 11:52:13","02/28/07 11:52:20","fishec50","fishec50"
112,447,"06/16/00 00:00:00","Ruth and David go to the oncologist for her test results. The news is bad, Ruth has cancer.","05/03/07 15:57:06","05/03/07 15:57:06","fishec50","fishec50"
113,447,"07/07/00 00:00:00","Ruth has a mastectomy.","05/03/07 16:00:41","05/03/07 16:00:41","fishec50","fishec50"
114,447,"07/21/00 00:00:00","Ruth lets Usha see the scar","05/03/07 16:06:04","05/03/07 16:06:28","fishec50","fishec50"
115,447,"07/25/00 00:00:00","Ruth looks at her scar","05/03/07 16:06:46","05/03/07 16:06:46","fishec50","fishec50"
116,447,"08/03/00 00:00:00","Ruth lets David see the scar","05/03/07 16:08:25","05/03/07 16:25:13","fishec50","fishec50"
117,447,"08/09/00 00:00:00","Start of chemotherapy","05/03/07 16:12:51","05/03/07 16:12:51","fishec50","fishec50"
118,447,"08/29/00 00:00:00","Ruth has all her hair shaved off","05/03/07 16:15:15","05/03/07 16:15:15","fishec50","fishec50"
119,447,"10/30/00 00:00:00","Ruth's last chemotherapy session","05/03/07 16:17:58","05/03/07 16:17:58","fishec50","fishec50"
120,447,"06/17/01 00:00:00","David and Ruth make love and conceive baby - see Ruth's third pregnancy","05/03/07 16:28:24","05/03/07 16:28:39","fishec50","fishec50"
121,795,"09/28/06 00:00:00","pickers: Ruth, David, Sophie, Roy, Hayley (Phoebe) Shula, Alistair, Phil, Jill, Tom, Brenda.","05/30/07 15:45:30","05/30/07 15:45:30","fishec50","fishec50"
122,1097,"05/31/07 00:00:00","Siobhan died","06/11/07 17:08:35","06/11/07 17:08:35","fishec50","fishec50"
123,703,"09/04/72 00:00:00","Tony returns to Ambridge and arrives at Brookfield and asks Dan to take him on at Brookfield","07/05/07 11:19:23","07/05/07 11:19:23","fishec50","fishec50"
124,73,"07/08/07 00:00:00","In July 07 there were floods all over the UK so harvest was delayed and Topicals were done and lines cut.","07/27/07 15:40:40","08/17/07 10:03:22","fishec50","fishec50"
125,617,,"See topical insert for the real floods in 2007","03/05/08 12:11:00","03/05/08 12:11:00","fishec50","fishec50"
126,1096,"03/19/08 00:00:00","Brian’s still going to split the farm three ways in his will.","04/23/08 10:16:17","04/23/08 10:16:17","fishec50","fishec50"
127,1096,"03/19/08 00:00:00","Debbie and Adam will be taking a 66% share of the profits (33% each).","04/23/08 10:17:21","04/23/08 10:17:21","fishec50","fishec50"
128,935,"03/26/08 00:00:00","Alan asked Usha to marry him and she said yes","04/30/08 09:57:25","04/30/08 09:57:25","fishec50","fishec50"
129,795,"04/16/08 00:00:00","They are calling it: Lower Loxley wine: an English regional wine from Borsetshire","05/02/08 12:28:51","06/07/13 14:07:22","fishec50","fishec50"
130,1171,"03/26/08 00:00:00","Alan asked Usha to marry him and she said yes","05/07/08 15:22:31","05/07/08 15:22:31","fishec50","fishec50"
131,1164,"07/16/08 00:00:00","In the team are Caroline, Alice, Shula and Nigel","09/03/08 10:24:35","09/03/08 10:24:35","fishec50","fishec50"
132,1182,"07/23/08 00:00:00","On grounds of the financial hardship it would cause the tenants, the planning committee has decided to turn down the application for change of use to the outbuilding at Bridge Farm","09/05/08 16:35:42","09/05/08 16:35:53","fishec50","fishec50"
133,596,"08/01/08 00:00:00","Will and Ed fight - Will almost kills his brother","09/18/08 11:48:45","09/18/08 11:48:45","fishec50","fishec50"
134,1193,"07/13/08 00:00:00","Will left Ambridge for Gloucester","10/16/08 14:58:57","10/16/08 14:58:57","fishec50","fishec50"
135,818,"10/12/08 00:00:00","Peggy suffers a stroke - see that storyline for details","01/07/09 17:06:38","01/07/09 17:06:38","fishec50","fishec50"
136,138,"10/29/08 00:00:00","Bert wins","02/04/09 11:10:05","02/04/09 11:10:05","fishec50","fishec50"
137,77,"12/12/08 00:00:00","In the run up to Christmas 2008 lots of people in the village got the flu.","02/26/09 10:50:33","02/26/09 10:50:33","fishec50","fishec50"
138,1165,"01/22/09 00:00:00","All clear","04/02/09 14:50:19","04/02/09 14:50:19","fishec50","fishec50"
139,231,"04/01/03 00:00:00","Debbie has received the Decree Nisi.","04/16/09 12:02:19","04/16/09 12:02:19","fishec50","fishec50"
140,1212,"02/02/09 00:00:00","Shula tells Alan that she will no longer attend church at St. Stephens","04/20/09 14:30:49","04/20/09 14:30:49","fishec50","fishec50"
141,229,"05/03/07 00:00:00","Parish Council: Derek, David, Lilian, Lynda, Christine, Neil","05/19/09 16:40:10","05/19/09 16:40:10","fishec50","fishec50"
142,1209,"03/03/09 00:00:00","Early morning police raid on the Dower House. Matt is arrested for fraud and conspiracy to defraud","06/02/09 10:11:08","06/02/09 10:11:44","fishec50","fishec50"
143,207,"04/29/09 00:00:00","Matt agrees to give up the chairmanship","08/21/09 15:06:35","09/03/09 15:14:16","fishec50","fishec50"
144,207,"05/06/09 00:00:00","Brian is appointed chair","09/03/09 15:14:33","09/03/09 15:14:33","fishec50","fishec50"
145,580,"05/06/09 00:00:00","Ed has signed the contract  - sent it back","09/03/09 15:47:27","09/03/09 15:47:27","fishec50","fishec50"
146,207,"05/12/09 00:00:00","Matt resigns from the board of Borchester Land","09/04/09 15:59:26","09/04/09 15:59:30","fishec50","fishec50"
147,980,"05/29/09 00:00:00","Tom proposes and Brenda accepts","09/22/09 14:17:16","09/22/09 14:17:16","fishec50","fishec50"
148,229,"10/18/09 00:00:00","Brian's gift of a strip of land near Milennium Wood for village. The Land will belong to the Parish Council","01/07/10 15:37:01","01/07/10 15:37:47","fishec50","fishec50"
149,1209,"11/12/09 00:00:00","Matt was sentenced to 18 months with a minimum of 9 months - out in August '10 and Chalkman was given 3 and a half years minimum 21 months out in August '11","01/22/10 12:38:30","01/22/10 12:41:31","fishec50","fishec50"
150,1268,"12/11/09 00:00:00","Peggy’s decided to offer Pat a ten year lease on the community shop.","02/04/10 14:36:44","02/04/10 14:36:44","fishec50","fishec50"
151,580,"10/01/09 00:00:00","From October '09 and not on air - Oliver sold the bottling plant to Mike","02/24/10 12:00:36","02/24/10 12:00:36","fishec50","fishec50"
152,1268,"01/13/10 00:00:00","Committee: Pat chair: Kathy secretary: Usha legal advisor: Susan retail expert and postmistress:  Lynda parish council member and fundraiser: David also representing the parish council:  Richard treasurer:  Oliver and Brian business advisors.","03/04/10 16:53:47","03/04/10 16:54:29","fishec50","fishec50"
153,229,"01/18/10 00:00:00","Derek standing down as chairman of the Parish Council","03/09/10 15:05:35","03/09/10 15:05:35","fishec50","fishec50"
154,229,"02/18/10 00:00:00","Neil is elected chair","04/21/10 10:27:42","04/21/10 10:28:06","fishec50","fishec50"
155,1279,"02/18/10 00:00:00","Noddy painted over the picture of Clarrie","04/21/10 10:34:47","04/21/10 10:52:05","fishec50","fishec50"
156,229,"03/04/10 00:00:00","Oliver has been co-opted on to the Parish Council","05/26/10 15:58:55","05/26/10 15:58:55","fishec50","fishec50"
157,1194,"01/23/09 00:00:00","Brian and Jennifer go round to Pat and Tony’s to celebrate their successful purchase of Bridge Farm.","06/10/10 11:56:51","06/10/10 11:56:51","fishec50","fishec50"
158,1127,"02/26/09 00:00:00","Nic has agreed to move in with William","06/10/10 12:13:14","06/10/10 12:13:14","fishec50","fishec50"
159,1178,"02/20/09 00:00:00","Brenda and Mike turn up to help Hayley and Roy unpack but they’re already sorted.","06/10/10 12:16:39","06/10/10 12:16:39","fishec50","fishec50"
160,864,"07/28/04 00:00:00","Sid and Jolene receive the good news from B.B.D.A  that they have won the award for South Borsetshire Pub of the Year.","06/18/10 11:50:35","06/18/10 11:50:35","fishec50","fishec50"
161,1270,"05/11/10 00:00:00","Helen goes for her first course of treatment at the clinic. She has to wait two weeks before she can do a test but she feels absolutely sure that she's pregnant.","08/04/10 11:41:51","08/04/10 11:41:51","fishec50","fishec50"
162,535,"02/09/01 00:00:00","The new cattle arrive at Brookfield","08/10/10 10:30:50","08/10/10 10:30:50","fishec50","fishec50"
163,1270,"05/26/10 00:00:00","Helen is pregnant","08/20/10 15:51:11","08/20/10 15:59:06","fishec50","fishec50"
164,1245,"05/28/10 00:00:00","Brenda stays in Leicester mid-week so she’s not commuting every day.","08/20/10 16:25:26","08/20/10 16:25:26","fishec50","fishec50"
165,34,"06/01/10 00:00:00","Harry has joined the cricket team","09/01/10 16:27:36","09/01/10 16:27:36","fishec50","fishec50"
166,1268,"06/02/10 00:00:00","Brian calls it ""The Ambridge Village Community Shop""","09/01/10 16:58:41","09/01/10 16:58:41","fishec50","fishec50"
167,1302,"06/10/10 00:00:00","Now own two houses at Hillside","09/10/10 15:46:03","09/10/10 15:46:03","fishec50","fishec50"
168,198,"07/02/10 00:00:00","Fete Committee 2010: Ruth, Jill, Jim, Lynda, Alan, Usha and Hayley","09/30/10 16:35:23","09/30/10 16:35:23","fishec50","fishec50"
169,1283,"07/15/10 00:00:00","Brian talks to David about: a possible farmers co-op; a branch of Borsetshire Farmers; a food centre in five years time it could be the biggest food and farming centre in the area.","10/15/10 15:14:06","10/25/10 11:11:55","fishec50","fishec50"
170,1283,,"the development sub-committee: 
Brian (Chair)
Lilian (For Amside)
Andrew Eagleton
Annabel Schrivener
Martyn Gibson","01/05/11 14:25:20","01/06/11 16:26:39","fishec50","fishec50"
171,1349,,"JACK (The Nurse) GEORGE (Towser the Dog)  BRENDA (Fairy Sunlight)  DEBBIE  (Robin Hood)    SIMON   (Sheriff of Nottingham)  HAYLEY (Maid Marian)  TONY (Little John)  ROBERT (Allan a Dale)  MIKE (Friar Tuck)  DAVID (Ruggablug)  ALISTAIR (Slinky)","01/17/11 14:31:39","01/17/11 14:31:39","fishec50","fishec50"
172,1251,,"They use a milking bail at Grange Farm but it's not mobile. It's parked permanently in the yard and is wired up/plumbed in","04/01/11 10:59:41","04/01/11 10:59:41","fishec50","fishec50"
173,1377,"03/28/11 00:00:00","Committee with people from; The Parish Council, the Village Hall Committee and The Flower and Produce lot: Jim,  Lynda, Neil, Christine, and Jill would be the best people for the job.","04/21/11 15:33:23","04/21/11 15:33:23","fishec50","fishec50"
174,229,"05/06/11 00:00:00","Not on air: Chair: Neil, Clerk: Jim, Committee: Jill, Lynda, Richard Thwaite, Oliver, Audrey","05/16/11 14:56:57","05/16/11 14:57:08","fishec50","fishec50"
175,1345,"10/17/78 00:00:00","In aid of the Talking Newspaper","07/20/11 16:37:57","07/20/11 16:38:15","fishec50","fishec50"
176,429,"12/23/86 00:00:00","The Morality play is called of and Tom ends up singing ""The Village Pump""","07/20/11 17:16:41","07/20/11 17:16:41","fishec50","fishec50"
177,1374,"08/07/11 00:00:00","Leonie is going to move in with James","08/16/11 15:12:00","08/16/11 15:12:00","fishec50","fishec50"
178,535,"08/26/11 00:00:00","Beef sold on line and sent through the post - not on air","08/26/11 11:22:51","08/26/11 11:22:51","fishec50","fishec50"
179,1413,"08/23/11 00:00:00","Not on air. The letter to Clarrie:
Dear Mrs Grundy
The Food Hygiene England Regulations 2006
The Health Protection (Part 2A) Regulations 2010
I can confirm that we have now completed our investigation into an Ecoli O157 outbreak associated with the consumption of ice cream from the Bridge Farm dairy. The source of the bacteria appears to be post pasteurisation contamination of the ice cream. The same type of Ecoli O157 was isolated by microbiological experts from a faecal sample that you produced. The onset of your symptoms, and the details of your food handling whilst symptomatic would lead me to conclude that you may have caused contamination of the ice cream. Ecoli O157 can survive in ice cream and may have led to the associated cases who consumed this product.
Whilst I am satisfied that you did not deliberately set out to ignore the exclusion advice given by the owners of the premises, I am sure you are aware of the very grave consequences of your actions in a serious outbreak of a serious disease.
I am unable to take legal proceedings against you in this instance but if you continue to work in a food handling environment you will require re-training.
Failure to adhere to the requirements of the Food Hygiene legislation in future will result in legal action.
Yours sincerely
Adrian Pegg
Principal Environmental Health Officer","09/01/11 15:57:47","09/01/11 15:57:47","fishec50","fishec50"
180,270,"09/12/11 00:00:00","Monday: Darrington - third Monday of the month
Tuesday: Hollerton’s market is on the second Tuesday and fourth Friday twice a month. 
Wednesday:  Greenbury - on the first Wednesday of the month. 
Thursday:  Borchester - The first Thursday of the month
Friday: Felpersham market is on the fourth Friday of the month.","09/12/11 10:28:43","10/13/11 16:39:54","fishec50","fishec50"
181,1232,"09/12/11 00:00:00","Tom is going to remove the name ""Bridge Farm"" from his sausages","09/20/11 14:39:59","09/20/11 14:40:05","fishec50","fishec50"
182,1328,"09/16/11 00:00:00","Ed and Will for once call a cease fire and together visit their mum in order to cheer her up.","09/27/11 16:11:22","09/27/11 16:11:22","fishec50","fishec50"
183,1268,"09/27/11 00:00:00","Clarrie is going to do a shift on Thursdays","10/12/11 16:48:07","10/12/11 16:48:07","fishec50","fishec50"
184,1447,"11/06/11 00:00:00","Grey Gables have renewed their ice-cream and yoghurt orders. As have Morgan's the Felpersham caterers.","11/11/11 14:27:21","11/11/11 14:27:21","fishec50","fishec50"
185,498,"02/21/12 00:00:00","See the Britain in Bloom stroyline: By 2012 Eddie's water features and patios have become an important part of his work.","03/01/12 10:18:58","03/01/12 10:19:59","fishec50","fishec50"
186,1419,"04/02/12 00:00:00","Chris signs the contract with Ronnie on 2/4/12 and moves on 5/4/12. Alice thinks it will be 4-5 years before they can buy the premises (2017) meanwhile they are renting from Ronnie.","04/13/12 10:31:14","04/13/12 10:38:22","fishec50","fishec50"
187,1487,,"In 2012 Tony suffered a heart attack. He recovered - read on","04/13/12 12:08:07","04/13/12 12:08:07","fishec50","fishec50"
188,954,"06/22/07 00:00:00","Lynda’s pleased that the article sent to Borsetshire Life in the name of Dylan Nells has been acknowledged by email, which proves her suspicions that ‘Lynda Snell’ was being blacklisted. - for storyline see Lynda the journalist","04/19/12 12:10:15","04/19/12 12:11:05","fishec50","fishec50"
190,1484,"05/04/12 00:00:00","Carl tells Amy it’s over","05/24/12 12:12:48","05/24/12 12:12:48","fishec50","fishec50"
193,522,,"Dan's garden was ransacked during the treasure hunt","12/03/12 17:03:47","12/03/12 17:03:47","fishec50","fishec50"
189,1490,"04/26/12 00:00:00","The Assault","05/11/12 17:24:28","05/14/12 14:12:10","fishec50","fishec50"
194,1598,"01/16/13 00:00:00","Mike and Vicky's daughter was born with Down’s Syndrome","01/31/13 11:14:18","01/31/13 11:14:18","fishec50","fishec50"
195,318,"08/27/08 00:00:00","Tom is milking Sunday, Wednesday and Friday - Wednesday  Veg box - Monday and Thursday: Sausages","02/07/13 15:37:32","02/07/13 15:37:44","fishec50","fishec50"
196,1564,"02/27/13 00:00:00","Six month lease on a fully serviced apartment - February to July","03/12/13 17:10:01","03/12/13 17:14:04","fishec50","fishec50"
197,1603,"03/15/13 00:00:00","Alice received a call from Canada and they´ve offered her the job. Jennifer assumes she´s turned it down but Alice tells her that under the circumstances they´ve given her a month to decide.","04/09/13 11:02:42","04/09/13 11:02:42","fishec50","fishec50"
198,1603,"03/05/13 00:00:00","Christopher is dealing with an agitated horse,  Freddie drops a bucket nearby, the commotion startles the horse. It rears up and floors Chris with a kick to the chest. Shula calms the horse and sends shocked Freddie for her mobile. With Chris losing consciousness, Shula talks to the emergency services.  They send an air ambulance.","04/09/13 11:05:11","04/09/13 11:05:36","fishec50","fishec50"
199,1564,"05/13/13 00:00:00","Matt realises that its Paul,  Lilian has been seeing.","06/07/13 14:51:36","06/07/13 14:51:52","fishec50","fishec50"
200,1589,"05/12/13 00:00:00","David and Ruth agree to lend Josh the money for the hen business.","06/07/13 16:16:55","06/07/13 16:17:29","fishec50","fishec50"
201,1039,"05/19/13 00:00:00","Josh and Neil shake hands and Josh signs the agreement to become official partner with Hayley and Neil in the hen business.","06/13/13 16:35:53","06/13/13 16:35:53","fishec50","fishec50"
202,1616,"06/11/13 00:00:00","Elona left Darrell","07/04/13 16:19:58","07/04/13 16:19:58","fishec50","fishec50"
203,1430,"04/25/12 00:00:00","Planning permission granted","07/08/13 15:50:32","07/08/13 15:50:32","fishec50","fishec50"
204,1467,"03/27/12 00:00:00","The quote for a new slurry system from Jack Harper came in at £40,000 - almost double the original estimate - but it is over 5 years. David and Ruth agree they should go for it.","07/25/13 10:31:12","07/25/13 10:31:12","fishec50","fishec50"
205,1440,"02/22/12 00:00:00","Grundys 60% - 40% for the club members","08/08/13 12:08:03","08/08/13 12:08:03","fishec50","fishec50"
206,1351,"07/19/13 00:00:00","At the ceilidh Kenton proposes to Jolene and she accepts. Kenton didn't even have time to get the words out before she said ""yes""","08/30/13 14:26:15","08/30/13 14:26:15","fishec50","fishec50"
207,1639,"09/23/13 00:00:00","Kathy resigns","11/21/13 14:45:13","11/21/13 14:45:13","fishec50","fishec50"
191,1488,,"Now called the Jubilee Field","09/13/12 16:14:10","09/13/12 16:14:59","fishec50","fishec50"
192,903,,"Roy's team: Tom, Chris, Will and Sam
Ed's team: Jazzer, Ash, Stu and Gus - Gus is a mate of Jazzer's","11/07/12 11:09:16","11/07/12 11:12:57","fishec50","fishec50"
